LIBELLE_QUALIFICATION,DOMAINE_TRAVAUX,ORGANISME,CODE_QUALIFICATION,TITRE_DOMAINE,NOMBRE_SIRET
Audits énergétiques des bâtiments tertiaires et/ou habitations collectives,,icert,Q0101,,15
Etude des ressources géothermiques,Etude forage géothermique,opqibi,1007,Etudes énergétiques,150
Ingénierie de la performance énergétique de l?enveloppe du bâtiment,Etude enveloppe du bâtiment,opqibi,1224,Etudes énergétiques,63
Etude de la performance énergétique dans le traitement climatique du bâtiment,Etude système technique bâtiment,opqibi,1326,Etudes énergétiques,137
Ingénierie de la performance énergétique dans le traitement climatique du bâtiment,Etude système technique bâtiment,opqibi,1327,Etudes énergétiques,127
Etude thermique réglementaire ?maison individuelle?,Etude thermique reglementaire,opqibi,1331,Etudes énergétiques,577
Etude thermique réglementaire ?bâtiment collectif d?habitation et/ou tertiaire?,Etude thermique reglementaire,opqibi,1332,Etudes énergétiques,563
Etude ACV bâtiments neufs (référentiel E+C-),Etude ACV,opqibi,1333,Etudes énergétiques,175
Étude d?éclairage intérieur,Etude eclairage,opqibi,1407,Etudes énergétiques,183
Audit énergétique des bâtiments (tertiaires et/ou habitations collectives),Audit énergétique,opqibi,1905,Etudes énergétiques,736
Accompagnement au commissionnement des installations techniques du bâtiment,Commisionnement,opqibi,1910,Etudes énergétiques,36
Audit énergétique ?maisons individuelles?,Audit énergétique,opqibi,1911,Etudes énergétiques,797
Ingénierie des installations de production utilisant la biomasse en combustion,Etude bois énergie,opqibi,2008,Etudes énergétiques,231
Étude d?installations de production utilisant l?énergie solaire thermique,Etude solaire thermique,opqibi,2010,Etudes énergétiques,128
Étude d?installations de production utilisant l?énergie solaire photovoltaïque,Etude solaire photovoltaïque,opqibi,2011,Etudes énergétiques,216
AMO pour la réalisation d?installations de production d?énergie utilisant la biomasse,Etude bois énergie,opqibi,2012,Etudes énergétiques,63
Ingénierie des installations de production utilisant l?énergie géothermique,Etude forage géothermique,opqibi,2013,Etudes énergétiques,96
Ingénierie des installations de production utilisant l?énergie solaire thermique,Etude solaire thermique,opqibi,2014,Etudes énergétiques,102
Ingénierie des installations solaires utilisant l?énergie solaire photovoltaïque,Etude solaire photovoltaïque,opqibi,2015,Etudes énergétiques,167
Panneaux Solaires Photovoltaïques,Panneaux solaires photovoltaïques,qualifelec,43SPVRGE,Installations d'énergies renouvelables,230
"Equipements électriques hors ENR : chauffage, eau chaude, éclairage","Equipements électriques hors ENR : chauffage, eau chaude, éclairage 2020",qualifelec,44LCPTRGE,anciens domaines avant 2021,2
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",qualifelec,44LCPTRGEr,Travaux d'efficacité énergétique,486
Ventilation Mécanique,Ventilation mécanique,qualifelec,44LCPTRGEv,Travaux d'efficacité énergétique,450
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",qualifelec,45MGTIRGEr,Travaux d'efficacité énergétique,58
Ventilation Mécanique,Ventilation mécanique,qualifelec,45MGTIRGEv,Travaux d'efficacité énergétique,48
"Radiateurs électriques, dont régulation","Radiateurs électriques, dont régulation.",qualifelec,46CHERGE,Travaux d'efficacité énergétique,37
Ventilation Mécanique,Ventilation mécanique,qualifelec,47VENRGE,Travaux d'efficacité énergétique,27
Pompe à chaleur : Chauffage,Pompe à chaleur : chauffage,qualifelec,48PACRGE,Installations d'énergies renouvelables,112
Chauffe-eau thermodynamique,Chauffe-Eau Thermodynamique,qualifelec,48PACRGEc,Installations d'énergies renouvelables,112
Chauffe-eau thermodynamique,Chauffe-Eau Thermodynamique,qualifelec,49CETRGE,Installations d'énergies renouvelables,38
Qualisol - Pose de chauffe-eau solaire individuel (eau chaude solaire),Chauffage et/ou eau chaude solaire,qualitenr,11,Installations d'énergies renouvelables,1519
Qualisol Combi - Pose de système solaire combiné (eau chaude et chauffage solaire),Chauffage et/ou eau chaude solaire,qualitenr,12,Installations d'énergies renouvelables,358
Qualisol Collectif - Pose de système de production d'eau chaude sanitaire à partir de capteur solaire thermique,Chauffage et/ou eau chaude solaire,qualitenr,13,Installations d'énergies renouvelables,13
Qualibois module Air - Pose d'appareil de chauffage au bois indépendant (poêle et insert),Poêle ou insert bois,qualitenr,21,Installations d'énergies renouvelables,4390
Qualibois module Eau - Pose d'appareil de chauffage au bois hydraulique (chaudière bois et poêle),Chaudière bois,qualitenr,22,Installations d'énergies renouvelables,4122
Qualibois module Eau - Pose d'appareil de chauffage au bois indépendant (poêle et insert),Poêle ou insert bois,qualitenr,23,Installations d'énergies renouvelables,4106
QualiPV Bat - Pose de générateur photovoltaïque raccordé au réseau,Panneaux photovoltaïques 2020,qualitenr,31,anciens domaines avant 2021,96
QualiPV Elec - Pose de générateur photovoltaïque raccordé au réseau,Panneaux solaires photovoltaïques,qualitenr,32,Installations d'énergies renouvelables,1040
QualiPV 0-250kWc - Pose de générateur photovoltaïque raccordé au réseau,Panneaux solaires photovoltaïques,qualitenr,33,Installations d'énergies renouvelables,157
QualiPAC Chauffage - Pose de pompe à chaleur (PAC aérothermique ou géothermique et chauffe-eau thermodynamique),Pompe à chaleur : chauffage,qualitenr,41,Installations d'énergies renouvelables,10168
QualiPAC CET - Pose de chauffe-eau thermodynamique,Chauffe-Eau Thermodynamique,qualitenr,42,Installations d'énergies renouvelables,449
QualiPAC Chauffage - Pose de chauffe-eau thermodynamique,Chauffe-Eau Thermodynamique,qualitenr,43,Installations d'énergies renouvelables,10148
Qualiforage module Sonde - Forage de sondes géothermiques verticales pour des systèmes géothermiques de très basse énergie,Forage géothermique,qualitenr,51,Installations d'énergies renouvelables,48
Qualiforage module Nappe - Forage d'eau pour des systèmes géothermiques de très basse énergie,Forage géothermique,qualitenr,52,Installations d'énergies renouvelables,35
Chauffage + - Pose de chaudières à condensation et micro-cogénération,Chaudière condensation ou micro-cogénération gaz ou fioul,qualitenr,61,Travaux d'efficacité énergétique,3031
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation du toit 2020,qualibat,2301D7,anciens domaines avant 2021,1
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des murs et planchers bas 2020,qualibat,2301D8,anciens domaines avant 2021,1
Fabrication et pose de charpente traditionnelle et structure en bois,"Fenêtres, volets, portes extérieures 2020",qualibat,2312D6,anciens domaines avant 2021,1
Fabrication et pose de charpentes en bois lamellé-collé,,qualibat,2342D111,,1
Fabrication et pose de charpentes en bois lamellé-collé,,qualibat,2342D112,,1
Fabrication et pose de charpentes en bois lamellé-collé,,qualibat,2342D114,,1
Fabrication et pose de charpentes en bois lamellé-collé,,qualibat,2342D115,,1
Tuiles à emboîtement ou à glissement,"Fenêtres, volets, portes extérieures 2020",qualibat,3101D6,anciens domaines avant 2021,2
Tuiles à emboîtement ou à glissement,Isolation du toit 2020,qualibat,3101D7,anciens domaines avant 2021,1
Tuiles plates,Isolation du toit 2020,qualibat,3121D7,anciens domaines avant 2021,1
Ardoises,"Fenêtres, volets, portes extérieures 2020",qualibat,3132D6,anciens domaines avant 2021,3
Ardoises,Isolation du toit 2020,qualibat,3132D7,anciens domaines avant 2021,3
Fenêtres de toit en pente,,qualibat,3143D109,,1
"Fourniture et pose de menuiseries extérieures en maison individuelle, petit collectif et petit tertiaire","Fenêtres, volets, portes extérieures 2020",qualibat,3511D6,anciens domaines avant 2021,1
Parois en bardages simples,,qualibat,3811D115,,1
"Installation de chauffe-eau solaire en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chauffage et/ou eau chaude solaire,qualibat,5131D102,Installations d'énergies renouvelables,190
Installation de chauffe-eau solaire dans tout type de bâtiment supérieur à 1000 m²,Chauffage et/ou eau chaude solaire,qualibat,5132D102,Installations d'énergies renouvelables,54
Installation de chauffe-eau thermodynamique,Chauffe-Eau Thermodynamique,qualibat,5133D106,Installations d'énergies renouvelables,2394
Installation d'appareil de chauffage bois indépendant : poêle et insert,Poêle ou insert bois,qualibat,5221D104,Installations d'énergies renouvelables,1093
"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Chaudière bois,qualibat,5222D103,Installations d'énergies renouvelables,771
"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire inférieur à 1000 m²",Poêle ou insert bois,qualibat,5222D104,Installations d'énergies renouvelables,723
"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Chaudière bois,qualibat,5223D103,Installations d'énergies renouvelables,29
"Installation de chauffage avec chaudière bois en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Poêle ou insert bois,qualibat,5223D104,Installations d'énergies renouvelables,28
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Pompe à chaleur : chauffage,qualibat,5231D105,Installations d'énergies renouvelables,2716
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire inférieur à 1000 m2",Chauffe-Eau Thermodynamique,qualibat,5231D106,Installations d'énergies renouvelables,2532
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Pompe à chaleur : chauffage,qualibat,5232D105,Installations d'énergies renouvelables,55
"Installation de pompe à chaleur et groupe froid en habitat individuel, collectif et tertiaire supérieur à 1000 m²",Chauffe-Eau Thermodynamique,qualibat,5232D106,Installations d'énergies renouvelables,54
Installation de chauffage solaire et ecs,Chauffage et/ou eau chaude solaire,qualibat,5241D102,Installations d'énergies renouvelables,19
Nettoyage de réseaux aérauliques,,qualibat,5331D108,,3
Installations photovoltaïques de puissance inférieure à 250 kWc,Panneaux solaires photovoltaïques,qualibat,5911D118,Installations d'énergies renouvelables,170
Isolation thermique par l'intérieur,,qualibat,7122D112,,3
Isolation thermique par l'intérieur,,qualibat,7122D113,,1
Isolation thermique par l'intérieur,Isolation du toit 2020,qualibat,7122D7,anciens domaines avant 2021,3
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffage et/ou eau chaude solaire,qualibat,8621T15D102,Installations d'énergies renouvelables,3
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chaudière bois,qualibat,8621T15D103,Installations d'énergies renouvelables,10
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Poêle ou insert bois,qualibat,8621T15D104,Installations d'énergies renouvelables,11
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Pompe à chaleur : chauffage,qualibat,8621T15D105,Installations d'énergies renouvelables,22
"Efficacité énergétique - ""Les pros de la performance énergétique®"" - Énergie renouvelables",Chauffe-Eau Thermodynamique,qualibat,8621T15D106,Installations d'énergies renouvelables,20
"Efficacité énergétique - ""offre globale""",Projet complet de rénovation,qualibat,8632D117,Rénovation globale,74
"Efficacité énergétique - ""offre globale""",Projet complet de rénovation,qualibat,8633D117,Rénovation globale,1
Réalisation d'audit énergétique en maison individuelle,Audit énergétique,qualibat,8731,Etudes énergétiques,19
Maçonnerie et ouvrages en béton armé,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2111D111,Travaux d'efficacité énergétique,795
Maçonnerie et ouvrages en béton armé,Isolation des murs par l'extérieur,qualibat,2111D112,Travaux d'efficacité énergétique,768
Maçonnerie et ouvrages en béton armé,Isolation des planchers bas,qualibat,2111D115,Travaux d'efficacité énergétique,809
Maçonnerie et ouvrages en béton armé,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2112D111,Travaux d'efficacité énergétique,174
Maçonnerie et ouvrages en béton armé,Isolation des murs par l'extérieur,qualibat,2112D112,Travaux d'efficacité énergétique,171
Maçonnerie et ouvrages en béton armé,Isolation des planchers bas,qualibat,2112D115,Travaux d'efficacité énergétique,175
Maçonnerie et ouvrages en béton armé,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2113D111,Travaux d'efficacité énergétique,39
Maçonnerie et ouvrages en béton armé,Isolation des murs par l'extérieur,qualibat,2113D112,Travaux d'efficacité énergétique,38
Maçonnerie et ouvrages en béton armé,Isolation des planchers bas,qualibat,2113D115,Travaux d'efficacité énergétique,40
Ravalement en maçonnerie,Isolation des murs par l'extérieur,qualibat,2121D112,Travaux d'efficacité énergétique,95
Ravalement en maçonnerie,Isolation des planchers bas,qualibat,2121D115,Travaux d'efficacité énergétique,85
Enduits aux liants hydrauliques,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2132D111,Travaux d'efficacité énergétique,191
Enduits aux liants hydrauliques,Isolation des murs par l'extérieur,qualibat,2132D112,Travaux d'efficacité énergétique,225
Enduits aux liants hydrauliques,Isolation des planchers bas,qualibat,2132D115,Travaux d'efficacité énergétique,185
Transformation en maçonnerie,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2141D111,Travaux d'efficacité énergétique,107
Transformation en maçonnerie,Isolation des murs par l'extérieur,qualibat,2141D112,Travaux d'efficacité énergétique,105
Transformation en maçonnerie,Isolation des planchers bas,qualibat,2141D115,Travaux d'efficacité énergétique,104
Réparation en maçonnerie et en béton armé,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2142D111,Travaux d'efficacité énergétique,27
Réparation en maçonnerie et en béton armé,Isolation des murs par l'extérieur,qualibat,2142D112,Travaux d'efficacité énergétique,28
Réparation en maçonnerie et en béton armé,Isolation des planchers bas,qualibat,2142D115,Travaux d'efficacité énergétique,25
Dallage courant,Isolation des planchers bas,qualibat,2151D115,Travaux d'efficacité énergétique,4
Béton armé et béton précontraint,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2212D111,Travaux d'efficacité énergétique,16
Béton armé et béton précontraint,Isolation des murs par l'extérieur,qualibat,2212D112,Travaux d'efficacité énergétique,16
Béton armé et béton précontraint,Isolation des planchers bas,qualibat,2212D115,Travaux d'efficacité énergétique,16
Béton armé et béton précontraint,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2213D111,Travaux d'efficacité énergétique,7
Béton armé et béton précontraint,Isolation des murs par l'extérieur,qualibat,2213D112,Travaux d'efficacité énergétique,7
Béton armé et béton précontraint,Isolation des planchers bas,qualibat,2213D115,Travaux d'efficacité énergétique,7
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois","Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2301D109,Travaux d'efficacité énergétique,382
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Fenêtres de toit,qualibat,2301D110,Travaux d'efficacité énergétique,403
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2301D111,Travaux d'efficacité énergétique,679
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des murs par l'extérieur,qualibat,2301D112,Travaux d'efficacité énergétique,538
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2301D113,Travaux d'efficacité énergétique,652
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des combles perdus,qualibat,2301D114,Travaux d'efficacité énergétique,622
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des planchers bas,qualibat,2301D115,Travaux d'efficacité énergétique,494
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois","Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2302D109,Travaux d'efficacité énergétique,16
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Fenêtres de toit,qualibat,2302D110,Travaux d'efficacité énergétique,17
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2302D111,Travaux d'efficacité énergétique,34
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des murs par l'extérieur,qualibat,2302D112,Travaux d'efficacité énergétique,31
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2302D113,Travaux d'efficacité énergétique,34
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des combles perdus,qualibat,2302D114,Travaux d'efficacité énergétique,33
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des planchers bas,qualibat,2302D115,Travaux d'efficacité énergétique,30
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois","Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2303D109,Travaux d'efficacité énergétique,2
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Fenêtres de toit,qualibat,2303D110,Travaux d'efficacité énergétique,2
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2303D111,Travaux d'efficacité énergétique,5
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des murs par l'extérieur,qualibat,2303D112,Travaux d'efficacité énergétique,5
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2303D113,Travaux d'efficacité énergétique,5
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des combles perdus,qualibat,2303D114,Travaux d'efficacité énergétique,5
"Fourniture et pose de charpente traditionnelle, en bois lamellé collé et structure en bois",Isolation des planchers bas,qualibat,2303D115,Travaux d'efficacité énergétique,5
Fabrication et pose de charpente traditionnelle et structure en bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2312D109,Travaux d'efficacité énergétique,272
Fabrication et pose de charpente traditionnelle et structure en bois,Fenêtres de toit,qualibat,2312D110,Travaux d'efficacité énergétique,277
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2312D111,Travaux d'efficacité énergétique,511
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des murs par l'extérieur,qualibat,2312D112,Travaux d'efficacité énergétique,453
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2312D113,Travaux d'efficacité énergétique,488
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des combles perdus,qualibat,2312D114,Travaux d'efficacité énergétique,479
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des planchers bas,qualibat,2312D115,Travaux d'efficacité énergétique,423
Fabrication et pose de charpente traditionnelle et structure en bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2313D109,Travaux d'efficacité énergétique,25
Fabrication et pose de charpente traditionnelle et structure en bois,Fenêtres de toit,qualibat,2313D110,Travaux d'efficacité énergétique,24
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2313D111,Travaux d'efficacité énergétique,56
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des murs par l'extérieur,qualibat,2313D112,Travaux d'efficacité énergétique,48
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2313D113,Travaux d'efficacité énergétique,50
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des combles perdus,qualibat,2313D114,Travaux d'efficacité énergétique,46
Fabrication et pose de charpente traditionnelle et structure en bois,Isolation des planchers bas,qualibat,2313D115,Travaux d'efficacité énergétique,40
Fourniture et pose de bâtiments à ossature bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2351D109,Travaux d'efficacité énergétique,19
Fourniture et pose de bâtiments à ossature bois,Fenêtres de toit,qualibat,2351D110,Travaux d'efficacité énergétique,18
Fourniture et pose de bâtiments à ossature bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2351D111,Travaux d'efficacité énergétique,28
Fourniture et pose de bâtiments à ossature bois,Isolation des murs par l'extérieur,qualibat,2351D112,Travaux d'efficacité énergétique,27
Fourniture et pose de bâtiments à ossature bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2351D113,Travaux d'efficacité énergétique,24
Fourniture et pose de bâtiments à ossature bois,Isolation des combles perdus,qualibat,2351D114,Travaux d'efficacité énergétique,23
Fourniture et pose de bâtiments à ossature bois,Isolation des planchers bas,qualibat,2351D115,Travaux d'efficacité énergétique,25
Fourniture et pose de bâtiments à ossature bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2352D109,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments à ossature bois,Fenêtres de toit,qualibat,2352D110,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments à ossature bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2352D111,Travaux d'efficacité énergétique,6
Fourniture et pose de bâtiments à ossature bois,Isolation des murs par l'extérieur,qualibat,2352D112,Travaux d'efficacité énergétique,6
Fourniture et pose de bâtiments à ossature bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2352D113,Travaux d'efficacité énergétique,4
Fourniture et pose de bâtiments à ossature bois,Isolation des combles perdus,qualibat,2352D114,Travaux d'efficacité énergétique,4
Fourniture et pose de bâtiments à ossature bois,Isolation des planchers bas,qualibat,2352D115,Travaux d'efficacité énergétique,6
Fabrication et pose de bâtiments à ossature bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2361D109,Travaux d'efficacité énergétique,10
Fabrication et pose de bâtiments à ossature bois,Fenêtres de toit,qualibat,2361D110,Travaux d'efficacité énergétique,10
Fabrication et pose de bâtiments à ossature bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2361D111,Travaux d'efficacité énergétique,18
Fabrication et pose de bâtiments à ossature bois,Isolation des murs par l'extérieur,qualibat,2361D112,Travaux d'efficacité énergétique,17
Fabrication et pose de bâtiments à ossature bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2361D113,Travaux d'efficacité énergétique,15
Fabrication et pose de bâtiments à ossature bois,Isolation des combles perdus,qualibat,2361D114,Travaux d'efficacité énergétique,17
Fabrication et pose de bâtiments à ossature bois,Isolation des planchers bas,qualibat,2361D115,Travaux d'efficacité énergétique,15
Charpente et structures industrialisées en bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2371D109,Travaux d'efficacité énergétique,10
Charpente et structures industrialisées en bois,Fenêtres de toit,qualibat,2371D110,Travaux d'efficacité énergétique,12
Charpente et structures industrialisées en bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2371D111,Travaux d'efficacité énergétique,14
Charpente et structures industrialisées en bois,Isolation des murs par l'extérieur,qualibat,2371D112,Travaux d'efficacité énergétique,10
Charpente et structures industrialisées en bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2371D113,Travaux d'efficacité énergétique,15
Charpente et structures industrialisées en bois,Isolation des combles perdus,qualibat,2371D114,Travaux d'efficacité énergétique,15
Charpente et structures industrialisées en bois,Isolation des planchers bas,qualibat,2371D115,Travaux d'efficacité énergétique,10
Charpente et structures industrialisées en bois,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2372D109,Travaux d'efficacité énergétique,1
Charpente et structures industrialisées en bois,Fenêtres de toit,qualibat,2372D110,Travaux d'efficacité énergétique,1
Charpente et structures industrialisées en bois,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2372D111,Travaux d'efficacité énergétique,1
Charpente et structures industrialisées en bois,Isolation des murs par l'extérieur,qualibat,2372D112,Travaux d'efficacité énergétique,1
Charpente et structures industrialisées en bois,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2372D113,Travaux d'efficacité énergétique,1
Charpente et structures industrialisées en bois,Isolation des combles perdus,qualibat,2372D114,Travaux d'efficacité énergétique,1
Charpente et structures industrialisées en bois,Isolation des planchers bas,qualibat,2372D115,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,"Fenêtres, volets, portes donnant sur l'extérieur",qualibat,2381D109,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,Fenêtres de toit,qualibat,2381D110,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,2381D111,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,Isolation des murs par l'extérieur,qualibat,2381D112,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,2381D113,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,Isolation des combles perdus,qualibat,2381D114,Travaux d'efficacité énergétique,1
Fourniture et pose de bâtiments en panneaux bois massifs croisés,Isolation des planchers bas,qualibat,2381D115,Travaux d'efficacité énergétique,1
Tuiles à emboîtement ou à glissement,Fenêtres de toit,qualibat,3101D110,Travaux d'efficacité énergétique,2394
Tuiles à emboîtement ou à glissement,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,3101D111,Travaux d'efficacité énergétique,2574
Tuiles à emboîtement ou à glissement,Isolation des murs par l'extérieur,qualibat,3101D112,Travaux d'efficacité énergétique,719
Tuiles à emboîtement ou à glissement,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,3101D113,Travaux d'efficacité énergétique,2653
Tuiles à emboîtement ou à glissement,Isolation des combles perdus,qualibat,3101D114,Travaux d'efficacité énergétique,2510
Tuiles canal,Fenêtres de toit,qualibat,3111D110,Travaux d'efficacité énergétique,193
Tuiles canal,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,3111D111,Travaux d'efficacité énergétique,238
Tuiles canal,Isolation des murs par l'extérieur,qualibat,3111D112,Travaux d'efficacité énergétique,18
Tuiles canal,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,3111D113,Travaux d'efficacité énergétique,251
Tuiles canal,Isolation des combles perdus,qualibat,3111D114,Travaux d'efficacité énergétique,240
Tuiles canal,Fenêtres de toit,qualibat,3113D110,Travaux d'efficacité énergétique,31
Tuiles canal,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,3113D111,Travaux d'efficacité énergétique,39
Tuiles canal,Isolation des murs par l'extérieur,qualibat,3113D112,Travaux d'efficacité énergétique,3
Tuiles canal,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,3113D113,Travaux d'efficacité énergétique,38
Tuiles canal,Isolation des combles perdus,qualibat,3113D114,Travaux d'efficacité énergétique,37
Tuiles plates,Fenêtres de toit,qualibat,3121D110,Travaux d'efficacité énergétique,535
Tuiles plates,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,3121D111,Travaux d'efficacité énergétique,532
Tuiles plates,Isolation des murs par l'extérieur,qualibat,3121D112,Travaux d'efficacité énergétique,8
Tuiles plates,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,3121D113,Travaux d'efficacité énergétique,529
Tuiles plates,Isolation des combles perdus,qualibat,3121D114,Travaux d'efficacité énergétique,510
Tuiles plates,Fenêtres de toit,qualibat,3123D110,Travaux d'efficacité énergétique,80
Tuiles plates,Isolation par l'intérieur des murs ou rampants de toitures  ou plafonds,qualibat,3123D111,Travaux d'efficacité énergétique,81
Tuiles plates,Isolation des murs par l'extérieur,qualibat,3123D112,Travaux d'efficacité énergétique,19
Tuiles plates,Isolation des toitures terrasses ou des toitures par l'extérieur,qualibat,3123D113,Travaux d'efficacité énergétique,82
